DO(ppm),pH,Temperature(*C),Salinity(ppt),TDS,Health
2.7,6.3,27,21.3,91,0
3.7,6.8,20,10.6,264,0
3.8,6.9,30,12.8,228,0
3.5,8.7,16,24.6,242,0
5,8.6,27,14.2,76,0
3.9,7.5,27,21.6,67,0
5.8,11,29,20.6,298,0
3.9,8.5,28,28.5,50,0
3.8,8.6,28,11,97,0
3.5,7.1,18,19.2,212,0
3.7,8.1,24,19,292,0
3.6,6.8,26,31.9,82,0
3.6,7.9,32,15.8,213,0
3.8,6.9,23,19.2,85,0
4,8.6,28,11.7,91,0
5.2,10.7,31,17.8,78,0
3.8,8.2,19,20.7,267,0
3,5.9,32,17.5,250,0
4,7.3,15,13.6,62,0
4.9,9.4,27,25,85,0
6,10,26,16.5,276,0
3.9,8.2,32,18.5,217,0
2.5,5.9,26,17.9,287,0
3.7,7.6,30,27.6,229,0
4,8.4,16,17.8,92,0
3.2,5.7,32,10,95,0
4.5,11.1,31,13.2,64,0
3.7,8.3,33,12.2,86,0
3.1,5.8,29,15,245,0
3.2,6.6,29,19.2,56,0
3.9,8.4,42,23.9,91,0
5,10.8,31,24.8,269,0
3.2,6.5,29,22.1,221,0
3.6,8.6,44,10.4,227,0
2.5,6.4,26,13.5,287,0
4,8.5,28,23.9,96,0
5.9,8.4,32,17.8,62,0
3.6,6.8,36,22.4,276,0
2.6,6.5,27,10.5,74,0
4.3,12.5,31,24.8,265,0
3.5,8.1,31,14.2,73,0
5,11,31,19.3,296,0
3.6,8.7,40,17.9,256,0
4.8,9,28,18.9,80,0
3.6,7.9,27,11.3,73,0
3.8,7.5,32,24.6,100,0
5.6,8.2,28,18.2,81,0
4,7.1,15,18.4,77,0
5.8,11.7,30,19.9,99,0
2.5,5.8,30,14.5,98,0
3.8,7.3,26,22.3,231,0
3.5,8.7,28,31.3,225,0
3.9,7,29,23.2,59,0
3.4,6.5,31,13,79,0
3.7,7.2,33,19.6,92,0
3.6,8.5,29,33.1,263,0
4,8.3,44,24.5,60,0
5.9,13.5,26,19.9,98,0
5.9,9.9,29,17.4,294,0
5,7.7,28,11,235,0
4.9,13.5,26,17.7,81,0
3.9,7.8,16,12.7,205,0
3.5,8,21,11.1,251,0
3.6,7,27,13.6,224,0
3.5,7.4,29,21,295,0
3.7,6.9,21,21.8,62,0
5.1,10,27,13.2,75,0
3.8,8.2,43,17.9,221,0
4,7.8,32,34.6,67,0
4,8,32,19.1,88,0
3.8,8.4,22,13.8,296,0
3.5,8.3,26,19.2,249,0
4.8,7.4,27,19.9,97,0
3.7,8.4,31,31.1,55,0
4,6.8,27,31.3,67,0
3.9,7.9,30,10.9,76,0
3.8,7.8,20,24,249,0
2.5,6.7,31,24.9,87,0
3.9,7.3,38,24.5,235,0
3.8,7.2,32,20.5,276,0
2.8,5.1,32,17.3,255,0
3.7,7.9,34,23.2,236,0
5.1,8.9,26,20.4,55,0
3.6,8.1,30,22.7,51,0
2.8,6.6,29,16.8,203,0
3.9,8.4,24,12.2,294,0
3.6,7.8,24,19.7,53,0
4.7,13.9,29,20.2,258,0
3.9,7.8,31,26.1,96,0
3.5,8.1,20,12.3,60,0
3.7,8.3,22,17.5,72,0
5.7,13.5,28,23.6,85,0
4,7.4,32,13.5,88,0
4,8.7,28,33.7,50,0
2.8,5,28,19.3,275,0
3.7,7.2,31,20.1,247,0
3.6,7.5,19,18.9,93,0
3.3,5.6,31,11,60,0
3.9,7.2,32,18.8,269,0
3.7,7,30,15.5,227,0
3.8,6.9,26,19.1,72,0
3.9,8.6,29,29.3,75,0
3.7,7.5,32,29.3,89,0
3.6,7.6,31,10.6,203,0
4,7.9,44,19,67,0
3.7,7.9,31,10.2,277,0
3.8,7.4,28,19,212,0
5.7,8.1,29,20.1,59,0
3.8,7.4,27,16.2,270,0
3.2,6.7,31,10.6,85,0
3.2,6.6,29,23.5,246,0
4.9,9.5,32,24.3,50,0
5.9,13.6,28,18.1,98,0
3.6,7.7,27,22.7,259,0
3.7,7.4,26,15.4,65,0
3.5,8.7,31,16.7,277,0
3.8,8.6,26,24.4,208,0
3.8,7.6,30,12.4,287,0
2.9,6.7,30,23.7,83,0
5.4,9.6,27,10.5,86,0
3.8,8.4,26,24.5,271,0
3.8,8.5,26,34.5,80,0
2.6,6.4,27,20.3,300,0
3.5,8.5,27,10.6,204,0
5.8,7.3,30,22.6,90,0
4.3,8.4,31,19,51,0
2.6,5.5,31,10.2,54,0
4.9,7.2,26,15.7,227,0
3.7,8.6,16,13.9,279,0
2.7,5.9,32,19.7,97,0
3.2,5.2,32,12.5,55,0
3.7,7.5,29,24.3,81,0
4.3,8.7,29,15.3,261,0
6,13.5,29,10.6,61,0
3.6,7.2,31,30.7,52,0
5.2,10.5,29,24.9,69,0
2.5,6.4,32,24.3,90,0
4.8,11.7,27,19.2,70,0
3.8,6.9,32,18.2,228,0
3.6,7,28,18.5,65,0
3.6,7.3,31,34.4,256,0
3.8,7.5,32,34.2,237,0
3.5,8.1,34,15.2,296,0
2.8,6,30,17.4,275,0
3.1,6.6,27,13.4,292,0
3.6,8.5,26,30.4,299,0
5.8,7.4,29,17.3,72,0
3.7,8.6,45,24.8,269,0
2.7,6.4,26,16.7,87,0
3.8,7.8,27,11.2,241,0
3.7,8.7,26,12.1,208,0
3.5,8,31,22.8,56,0
3.5,8.4,27,32.2,79,0
2.9,6.4,27,13.4,90,0
3.7,6.8,27,32.9,98,0
4.6,11.2,30,23.6,251,0
3.6,6.9,32,32.5,89,0
3.8,7.1,31,13.2,227,0
3.8,7.8,24,20,228,0
3.9,8.5,24,12.4,52,0
3.5,7.6,26,30.7,290,0
3.5,8.1,20,20.5,51,0
3.3,5.2,31,13.9,97,0
3.5,7.7,45,21,55,0
3.9,7.2,32,15.1,80,0
3.8,7.9,24,12.2,51,0
5.4,12.8,30,10.1,96,0
5,8.4,32,10.2,205,0
3.4,5.6,26,22,272,0
3.6,6.8,22,17.7,76,0
3.9,6.8,18,14.7,100,0
2.9,5.9,26,17.3,240,0
4.5,14,28,20.3,280,0
4.7,12.2,32,20.4,277,0
3.6,6.8,27,13.8,263,0
3.9,6.9,16,22.2,274,0
3.7,7.2,33,15,79,0
4.8,9.2,30,14.1,57,0
3.5,7.2,36,11.9,54,0
2.6,6,29,11.2,219,0
3,5,26,22.2,220,0
5.1,7,31,23.3,93,0
3.5,8.5,17,17.3,240,0
2.8,6.1,31,11.1,61,0
3.6,6.9,30,16.3,100,0
3.6,8.1,41,18.5,95,0
3.7,7,29,17.7,207,0
3.7,8.3,16,11.9,293,0
3.9,8.6,34,17.2,60,0
3.8,6.9,24,16.6,92,0
3.7,7.8,27,17.3,76,0
2.7,5.2,31,21.2,241,0
3.8,7.6,27,17.5,95,0
3.6,7.4,15,16.2,281,0
3.9,8.3,21,11.4,50,0
5.2,10.4,30,15.2,81,0
3.6,8.1,27,31.8,58,0
5.8,12.8,28,24.2,256,0
3.8,8.7,31,16.4,275,0
3.8,7.3,35,22.4,90,0
3.8,7.7,28,15.1,60,0
4,7.8,27,11.7,252,0
3.5,8,16,19.7,71,0
2.7,6.7,27,11.4,76,0
3.7,7.8,27,24.9,269,0
4,7.3,16,11,223,0
3.6,8.5,16,13.9,69,0
2.9,6.4,27,25,97,0
2.7,6,26,17.2,276,0
3.7,7.2,27,18.9,87,0
3.7,6.9,21,14.9,64,0
3.4,5,26,21.6,270,0
5.8,11.8,28,18.1,91,0
3.7,8.1,15,24.4,75,0
3.9,7.9,29,22.6,263,0
3.7,8.6,27,11,251,0
3.7,7.2,22,23.7,223,0
3.6,8.6,29,31.9,224,0
3.8,8,29,24.2,93,0
3.9,8.3,37,10.8,76,0
3.6,8.7,28,28.3,220,0
3.3,5.2,30,13.8,75,0
4.4,11.3,31,22.8,273,0
5.9,7.2,29,14,206,0
490,12.1,29,14.3,66,0
3.6,7.7,28,23,296,0
4,8.7,28,16.8,65,0
3.8,8.5,29,12.2,51,0
3.9,8,28,27.7,65,0
3.9,8.3,15,22.1,98,0
3.9,7,30,11.4,247,0
4,8.5,28,33.4,66,0
3.7,7.5,40,12.4,228,0
3.9,7.5,32,24,238,0
3.8,7.5,31,29.3,215,0
3.3,6.5,28,18.4,51,0
3.6,8.4,44,20.9,233,0
3.9,8.7,21,21.3,60,0
2.5,5.2,26,20.8,76,0
3.6,8.6,24,16.1,219,0
3.3,5.4,32,24.2,233,0
4,7.4,20,20.8,218,0
4.4,12.3,31,22.9,83,0
4.8,10.4,32,12.3,69,0
3.8,7.6,28,22.3,65,0
5.8,12.5,32,18.8,244,0
3.7,6.9,17,16,99,0
4,8,32,13.5,67,0
3.9,8.1,32,20.2,259,0
3.5,7.3,16,15.5,217,0
3.9,6.8,23,18.8,273,0
4,7.7,41,15.6,89,0
3.6,7,26,29.2,292,0
3.7,7.3,32,30.5,255,0
3.1,5.7,31,20,94,0
3.1,5.3,26,25,74,0
5.6,12,32,22.6,95,0
4,6.8,36,11.7,69,0
3.8,7,39,18.9,299,0
3.8,8.1,32,34.4,90,0
3.8,7.6,27,24.6,256,0
3.5,7,30,23.5,245,0
3.5,8,41,22,95,0
5.2,8.6,32,23.5,209,0
4,7.4,22,19.6,56,0
4,7.3,26,33.2,75,0
3.7,7.8,27,33.7,237,0
3.6,7.9,27,15.2,245,0
4.6,8.7,27,11,98,0
3.9,7.3,29,12.4,51,0
3.6,8.5,28,24.2,296,0
3.7,6.9,28,17,54,0
3.6,7.9,27,19.5,240,0
3.9,8.6,28,11.6,257,0
3.5,6.9,28,13.7,282,0
3.9,8.6,32,28.2,99,0
3.8,8,31,21.7,53,0
2.5,5.6,27,22,66,0
5.8,12.7,29,17.3,55,0
4,8.6,17,24.2,279,0
3.8,8,28,19.5,275,0
3.8,7.9,16,11.7,93,0
4,8.4,28,11.2,244,0
3.7,6.8,32,27,215,0
3.8,7.4,38,11.1,273,0
3.5,7.9,31,20.4,77,0
3.7,8.4,31,21.5,59,0
5.3,13.4,31,14.7,89,0
3.8,8.6,27,11.4,86,0
3.8,7.9,29,19.3,299,0
3.9,7.8,18,16.1,289,0
3.3,5.3,32,24.6,287,0
3.8,7,29,16.2,64,0
3.8,8.4,29,11.3,232,0
3.1,5.7,27,20,96,0
3.6,8.4,23,16.8,214,0
3.8,8.3,17,19.9,72,0
5,11.3,29,14.6,74,0
3.9,8.7,15,21.4,216,0
3.8,7.5,32,28.9,215,0
2.8,6.2,30,17.4,217,0
3.8,8.1,30,16.4,83,0
3.7,7.1,41,20.6,80,0
3.1,6.7,32,22.4,267,0
3.2,6.3,26,15.8,82,0
5.6,7,28,22.8,67,0
4,7.4,17,11.6,79,0
5.4,9.9,32,12,78,0
4,6.8,17,11,77,0
3.9,7.4,23,14.7,57,0
3.8,7.4,19,19.2,75,0
3.9,8.6,27,20.6,226,0
2.9,5.4,28,23.3,298,0
3.6,7.7,24,15.2,299,0
4,7.3,37,11.3,226,0
3.8,7.1,26,21.9,290,0
3.5,8.5,27,23,254,0
3.5,7.3,28,11.9,207,0
3.5,7.4,28,18.1,254,0
4.6,7.8,29,24.2,238,0
3.5,8.3,28,16,257,0
3.8,7,32,22,73,0
2.8,6.4,27,22.6,84,0
5,11.2,27,14.1,69,0
3.8,7.2,41,11.2,97,0
3.3,5.2,31,10.7,76,0
3.5,8.2,28,16,282,0
4.3,10.4,26,20.6,281,0
3.9,8,32,18.8,84,0
3.9,8.7,29,17.2,94,0
3.7,7.5,26,24.8,90,0
3.9,6.9,18,10.8,60,0
2.9,6,26,25,226,0
4,8.5,18,18.9,75,0
3.8,8.3,22,24.7,256,0
3.9,7.7,21,19.8,226,0
3.2,5.9,26,17.1,76,0
3,6.7,29,16.3,54,0
5.2,11.7,28,19.2,65,0
3.6,7.8,26,15.6,230,0
3.4,5.4,29,19.7,64,0
3.6,7.3,25,23.2,210,0
3.7,7.7,31,21.6,80,0
3.6,7.8,31,31.2,73,0
3.6,7.4,17,22.7,247,0
5.5,11.4,28,15.6,83,0
4.9,13.6,26,14.5,229,0
3.9,8.7,30,34.3,281,0
3.6,7.6,29,31.9,208,0
4.6,13.1,30,13,258,0
3.9,8,21,22,262,0
4.6,9,30,16.4,297,0
3.6,8.4,43,12,61,0
3.7,7.5,42,24,50,0
3.9,8.2,31,17.6,58,0
2.7,5.3,26,11.3,252,0
4.3,8.8,28,19,237,0
3.8,8.1,22,20.5,260,0
3.5,7.6,20,20.5,263,0
3.5,7.7,16,13.2,77,0
3.5,8.5,19,16.7,65,0
3.6,8,30,32.2,99,0
3.4,5.8,30,23.1,51,0
3.8,7.1,28,15.9,54,0
3.9,7.4,26,31.3,247,0
6,13.8,27,10.8,61,0
5.3,12.1,29,24.1,72,0
3.7,7.8,40,14.1,63,0
3.5,8.1,28,29.1,84,0
3.8,7.2,32,32.2,237,0
5,9.6,31,14.6,208,0
3.9,8.5,20,18.9,66,0
3.6,8.5,27,22.5,248,0
5.2,14,30,21,61,0
3.5,7.5,15,10.6,63,0
4,7.9,16,22.3,51,0
3.9,8.5,23,17.9,81,0
3.8,7,29,16.7,55,0
3.8,6.9,19,22.6,274,0
4,7.1,33,19.7,206,0
3.9,8.3,32,30.1,219,0
3.5,7.4,24,10.1,210,0
3.9,7.2,32,23.9,63,0
3.7,8.3,31,22.6,54,0
3.5,8.4,28,19.1,272,0
3.6,7.1,29,14.1,224,0
4,7.7,19,19.6,263,0
4,7.9,32,19.8,224,0
4.9,8,28,22.1,212,0
2.5,5,31,22.4,233,0
4.5,8.6,29,24.2,229,0
3.7,8.2,28,20.3,269,0
3.8,8,22,16,218,0
4.7,14,31,22.9,82,0
2.6,6.6,32,20.8,235,0
4,7.3,29,14.3,80,0
3.2,6.7,26,10.2,227,0
4.2,13.2,32,14.7,245,0
5.9,8.3,30,13.7,82,0
5.4,12.1,26,10.4,94,0
3.5,7.2,29,20.2,211,0
3.9,7.5,33,12.1,247,0
3.6,8.4,27,12.2,214,0
6,9.5,29,15.8,69,0
3.5,8.1,18,19.1,207,0
3.5,8.6,28,30,230,0
5.1,8.1,28,15.3,290,0
3.9,7.7,30,22.7,73,0
3.2,5.4,30,12.3,62,0
3.8,8.5,29,10.1,73,0
3.5,7.4,32,33.6,59,0
3.2,5.7,28,21,97,0
3.7,7.8,28,28.3,52,0
3.3,5.1,32,12.6,207,0
4,8.4,19,13,87,0
3.7,7.2,44,21.8,205,0
3.9,7.6,15,12.5,262,0
3.6,6.9,39,16.4,281,0
3.6,8.4,30,13.4,300,0
3.6,7.4,28,13.1,208,0
3.7,7.5,28,12.9,264,0
3.9,7.2,29,10.1,83,0
2.5,5.4,32,12.4,200,0
5.1,10.3,29,10.1,225,0
3.6,8.6,15,16.5,87,0
4,7.4,32,23.4,99,0
3.5,8.5,27,30.1,228,0
3.7,8.2,27,23,245,0
3.9,7.1,25,21.7,83,0
3.8,7.3,23,23.5,81,0
4,8.3,32,17.7,263,0
5.1,13,27,15.2,293,0
3.8,7,26,19.6,252,0
3.8,7.6,25,15.8,217,0
3.9,6.8,25,21.6,50,0
4.3,13.8,28,17,86,0
3.7,8.7,28,12.2,211,0
4,7,26,23.4,256,0
4.4,11,26,18.8,280,0
5.6,12.6,29,15.2,275,0
4,7.3,29,24.5,97,0
3.5,8.1,31,14.9,78,0
3.8,8.5,31,14.2,295,0
3.6,7.9,44,21.2,81,0
2.5,5.2,29,11.6,254,0
3.7,7.8,26,24.3,212,0
2.9,5.3,30,17.5,51,0
4.3,11.3,29,19.3,83,0
3,5,31,20,65,0
3.5,7.5,27,24.3,229,0
3.7,8.3,19,16.5,62,0
3.5,7.8,25,14,292,0
3.6,8,29,31.3,261,0
2.7,6.7,32,21.3,67,0
2.8,5.1,27,12.4,251,0
44,7.5,32,18.2,85,0
2.6,5.9,27,14.6,63,0
2.8,6.2,32,14.8,62,0
3.9,7.9,37,19.8,267,0
4,7.4,15,20.8,61,0
4.7,8.8,31,14.8,71,0
3.5,7.8,26,31.4,87,0
2.6,6.3,29,10.8,221,0
5.4,13.1,31,11.7,265,0
51,10,32,15.8,255,0
3.6,7.7,32,23.6,77,0
4,7.7,27,26.1,289,0
4.4,10.5,28,10.3,281,0
5.2,10.8,26,19.6,50,0
3.8,7,26,31,76,0
3.6,8.6,32,33.9,72,0
3.4,5.4,29,20.9,223,0
5.2,12.6,31,14.6,66,0
2.6,5.2,32,13.3,274,0
3.7,7.9,26,11.6,60,0
3.5,6.8,27,17.3,298,0
3.9,7,28,17.4,244,0
3.6,7.6,30,30.7,280,0
3.6,7.1,18,11.5,211,0
4,8.6,31,24,50,0
3.7,8.4,25,10.2,62,0
47,7.5,27,13.3,297,0
5.6,9.1,27,13.6,79,0
3.6,7.3,40,11.7,88,0
3.6,8.1,23,10.6,62,0
4,7.9,30,23.3,283,0
3.8,8,31,26.2,66,0
5.3,7.9,28,19.8,85,0
2.6,5.4,31,21.8,226,0
3.9,7,32,14.3,256,0
4.7,9.1,28,20.4,295,0
5.4,12.2,26,18.3,208,0
3.8,8.1,29,18.2,246,0
3.7,8.3,19,23.7,210,0
3.5,6.8,39,23.7,92,0
5.8,13.9,30,14.5,243,0
3.7,7.3,44,22.6,54,0
3.7,7.1,21,10.1,271,0
3.8,8.1,26,20.9,284,0
3.9,6.9,30,15.4,57,0
3.5,7.6,16,14.7,283,0
3.5,7.5,27,26.2,272,0
3.5,7.6,29,12.5,89,0
3.5,8.4,27,21.4,70,0
4.9,10.9,27,24.4,232,0
3.5,7.2,31,27.4,259,0
5.7,11.5,27,18.2,245,0
3.4,5.7,29,20.7,237,0
4,8.3,30,34.3,89,0
3.6,7,30,19.5,241,0
3.6,6.9,29,22.8,221,0
3.1,6.2,27,13.7,223,0
3.8,8.7,15,12.2,232,0
3.5,7.8,21,18.6,77,0
2.9,6,32,15.4,90,0
3.5,7.9,30,18.4,254,0
3.6,7.6,32,26.3,77,0
4,7.9,28,13.4,98,0
3.1,6.2,32,21.7,209,0
3.8,8.4,29,17.5,296,0
5,12.6,31,10.8,84,0
4.4,9.2,26,20.3,270,0
4.5,8.5,26,14.3,241,0
3.6,7.8,15,23.7,250,0
5.4,11,27,18.3,99,0
3.6,8.3,29,21.9,222,0
3.8,8.1,24,11,92,0
3.9,7,28,21.4,82,0
3.7,7.4,19,20.6,78,0
3.6,7,29,11.9,84,0
4.3,13.7,32,21.8,58,0
3.9,7.2,20,22.1,51,0
5.1,8.5,27,21.3,255,0
3.9,8.6,34,22.1,254,0
5.6,11.2,26,10.5,70,0
4.5,10.8,28,17.7,262,0
2.8,6.7,30,20.6,247,0
3.5,8,26,18.8,276,0
3.8,7.2,30,20.7,82,0
2.9,6.4,27,10.9,70,0
3,6.2,30,22.1,207,0
3.6,7.4,16,16.1,280,0
3.5,8.6,29,18,56,0
3.7,7.5,26,26.3,237,0
4,7.5,39,11.7,205,0
2.6,5,32,19.7,99,0
3.6,7.1,20,15.9,75,0
3.5,7.1,27,24.4,290,0
3.9,7.2,26,34.2,78,0
5.3,9.3,26,16.8,283,0
3.6,7.8,32,14.7,91,0
3.5,7.6,25,11.4,299,0
3.5,7.1,30,17.1,218,0
4,6.9,28,19,93,0
4,7.3,31,12.8,253,0
3.7,6.8,31,14.8,212,0
3.6,8.6,20,19.2,287,0
3.8,7.5,23,18.3,246,0
3.7,7.9,27,26.1,89,0
3.5,7.7,29,15.4,238,0
5.1,11.3,29,21.1,214,0
4,8.7,25,14.3,54,0
3.5,7.4,27,15.6,83,0
4,8.4,32,22.2,69,0
4,7.7,27,16.5,70,0
3.9,8.7,17,14.7,98,0
4,6.9,24,21.4,51,0
4,8.3,30,17.6,98,0
3,6,27,12.9,215,0
3.9,8.4,21,16.2,270,0
3.6,7.9,35,16.9,257,0
3.8,8.7,28,28.4,85,0
4,6.9,35,18.8,82,0
4.5,13.2,30,16.6,53,0
3.3,6.4,28,17.3,246,0
3.2,5.3,29,24,202,0
4,7.4,19,17.5,96,0
5.7,11.5,27,10.3,61,0
3.7,8.1,34,13.7,246,0
2.9,5,32,17,293,0
3.7,8,26,16.9,87,0
3.7,6.8,31,14.4,74,0
3.9,8,31,19,57,0
3.5,7.2,29,18.7,93,0
5.1,12.7,26,17.1,73,0
3.9,7.7,24,10.1,243,0
3.7,7.4,40,11.8,222,0
3.9,6.9,15,18.8,76,0
3.6,7.6,29,15.9,97,0
3.9,8.2,27,11.9,94,0
3.9,7.4,39,16.3,83,0
3.7,8,28,15.4,63,0
3.9,7.2,27,13.8,215,0
3.9,7,39,22.6,295,0
4,8.1,35,17.7,280,0
3.9,8.4,29,29.2,72,0
5.9,11.3,27,18,53,0
3.5,7.2,32,12.4,66,0
5.2,10.6,31,18.9,81,0
3.6,7.5,20,12,293,0
5.8,9.6,32,24.5,293,0
3.6,7,35,23.3,250,0
3.2,5.4,32,17.1,53,0
3.8,7.7,16,19.1,272,0
3.7,8.5,38,10.6,91,0
3.8,8.7,27,11.7,244,0
3.7,7.4,15,17.3,295,0
3.9,7.1,26,27.7,227,0
2.6,6.1,28,10.6,79,0
5.6,9.8,30,11.1,213,0
3.6,7.8,30,21.6,89,0
2.8,6.6,26,18.2,50,0
3.6,8.7,26,35,208,0
3.5,8.5,32,23.3,90,0
3.5,8.5,31,26.9,265,0
3,6,32,21.4,298,0
3.5,7.3,31,22.1,75,0
4,7,19,20.1,95,0
4,7.7,15,10.8,54,0
3.7,7.2,28,29.2,99,0
3.7,6.9,31,17,58,0
3.8,7.5,23,17.8,50,0
5.4,9.5,31,12.7,63,0
2.9,5.6,30,24.7,221,0
3.9,8.4,28,23.6,225,0
3.7,6.9,30,16.7,249,0
3.7,7.4,29,33.9,58,0
3.6,8.2,28,18.8,264,0
3.8,7.9,30,24.4,52,0
3.4,6.7,29,20.3,58,0
4,8.5,17,15.9,84,0
4.5,7.6,27,14.8,232,0
3.9,8.2,30,33.5,277,0
3.6,8.5,26,19.1,261,0
4,8,39,19,234,0
4,8.6,23,18.1,248,0
3.6,7.3,27,24.6,235,0
4,7.6,25,13.1,298,0
3.2,5.5,28,23.1,272,0
3.6,7.6,27,16.8,233,0
3.5,6.8,30,18.4,227,0
3.1,6.5,28,11.5,51,0
3,5.2,29,20.1,226,0
3.7,6.8,33,20.9,76,0
3.7,8.3,29,15.5,261,0
3.9,7.8,18,16.5,58,0
3.6,8.6,28,17.6,215,0
3.8,7.4,41,23.6,294,0
4.3,8.1,26,24.6,92,0
4,7.6,23,15.4,240,0
3.6,8.4,30,19.5,276,0
3.3,6.6,28,24.1,60,0
4.4,12.3,27,10.4,208,0
3.4,6.4,26,17.4,84,0
3.8,8,24,20.2,239,0
3.2,5.6,26,13.6,223,0
5,12.2,27,20.2,88,0
3.1,5.4,26,15.7,295,0
3.8,7.8,26,21.4,84,0
3.8,7.7,15,20,230,0
4,7.4,26,20,285,0
3.4,6.5,32,20.7,299,0
3.2,6.6,27,15.7,261,0
4.3,11.7,30,16.7,97,0
3.7,7.2,24,16.1,238,0
3.8,7.5,31,22.6,84,0
3.7,7.9,32,17,63,0
3.1,6.1,26,21.3,70,0
4.5,10.7,29,24.6,79,0
3.6,7.5,26,21.1,69,0
3.8,6.9,27,23.7,258,0
3.5,7.8,41,20.2,72,0
3.6,7.7,16,10.6,298,0
5.7,10.7,28,20.3,267,0
3.7,7.2,31,20.5,85,0
3.4,5.4,30,19.2,86,0
3.8,8.3,28,17.7,247,0
4,8.2,31,27.3,234,0
3.7,8.3,22,18.9,294,0
2.9,5.3,30,21.8,221,0
3.7,7.1,29,24.1,96,0
3.8,7.8,30,13.7,275,0
3.2,5.3,30,23.6,56,0
3.8,7.8,33,16,64,0
3.8,7.1,20,23.6,97,0
4,7.5,18,18.6,267,0
3.6,8.3,28,13.7,216,0
2.7,6.1,27,11.8,218,0
3.6,8.5,22,13,95,0
3.9,7.6,26,24.4,226,0
3.5,8.2,24,16.3,88,0
3.7,8.5,29,24.2,248,0
3.8,7.2,42,12.8,68,0
3.6,8,26,18.7,99,0
3.9,8.6,27,28.1,294,0
5.5,12.7,28,17.3,238,0
6,7.6,29,10.1,73,0
4,7.5,24,11.5,229,0
3.6,8.3,24,14.5,80,0
3.9,6.8,29,14.1,53,0
3.6,6.9,23,19.2,274,0
2.7,5.5,32,10.2,281,0
3.6,7.9,34,16.8,64,0
3.5,7.7,26,16.2,77,0
3.5,7.3,28,11.5,274,0
2.5,5,26,14.6,294,0
5.6,7.9,26,25,55,0
3.6,7.4,27,12.1,70,0
3.6,8.4,28,10.4,231,0
3.2,5.7,31,15.2,59,0
5.3,12.3,32,17.5,54,0
3,6.3,29,24.6,100,0
2.9,6,32,11.2,228,0
3.5,7.2,30,19.1,51,0
3,5.7,30,14.7,267,0
3.9,7.8,26,23.2,224,0
3.5,8.7,28,21.1,50,0
3.9,6.9,28,13.1,83,0
3.7,8.2,28,24.1,229,0
2.7,6.1,31,22.8,80,0
3.8,8.1,30,13.1,209,0
3.8,8.5,16,14.3,294,0
3.5,7.5,30,18.8,283,0
3.6,8.4,32,15,87,0
4,8.2,31,17,53,0
3.4,5.1,32,16.6,92,0
3.8,8,22,15.8,80,0
3.9,6.8,44,17.1,287,0
3.9,7.7,30,31.8,300,0
4,7.6,27,23.8,276,0
3.9,7.9,19,10.7,230,0
5,7,26,24.5,100,0
3.6,8.1,29,21.8,228,0
5.1,12.8,29,10.3,79,0
5.4,7.1,30,21.6,284,0
3.8,8,27,28.2,213,0
4,8.7,27,31,297,0
3.5,6.8,31,13.5,81,0
4.4,7.8,32,22.2,203,0
4.4,10.2,30,11.5,91,0
4,7.7,31,12.6,254,0
4,8.1,31,23,244,0
3.8,7.5,36,11.5,272,0
3.6,7.8,32,15.1,97,0
3.8,8.3,29,16.3,95,0
6,7.5,27,21.3,74,0
3.9,8.2,24,23.4,85,0
3.6,7.7,32,11.6,200,0
4,7.1,27,18,299,0
3.8,8.5,40,14.4,285,0
5.2,7.9,31,18.1,69,0
3.6,7.3,28,31,238,0
5.4,7.6,31,15.1,231,0
4,8.6,29,28.7,280,0
3.6,8.6,20,13.6,238,0
3.5,6.8,44,24.1,289,0
3.4,5.5,30,22.7,236,0
3.5,7.9,38,21.2,80,0
4.6,10.6,27,18.9,224,0
2.9,6.6,32,11.6,297,0
3.6,7.6,30,16.1,252,0
3.9,6.9,38,23.7,293,0
2.9,6.6,29,20.6,287,0
4.3,12.6,27,12.8,70,0
3.3,5,32,14.1,55,0
5.2,10.1,27,24.5,204,0
3.7,7.9,24,20.7,275,0
3.8,8.7,15,18.1,53,0
2.5,6.2,29,15.6,85,0
2.9,6.4,27,19.2,228,0
4.4,7.5,31,15.5,281,0
3.9,7,30,23.3,230,0
3.8,7.3,43,25,80,0
3.7,7.8,32,32.4,259,0
4.2,13.7,27,21.1,232,0
4,7.4,26,23.8,98,0
3.7,6.8,30,10.3,72,0
5.6,7.8,28,12.8,61,0
5,8.6,27,21.1,262,0
4,7.9,31,14.9,205,0
2.5,6.5,29,15.5,54,0
3.5,7.6,42,22.3,95,0
2.9,5.8,30,22.1,58,0
4.8,9.1,29,11.1,86,0
3.9,7.3,31,12.3,62,0
4,8.7,44,24.7,89,0
5.3,12.7,26,19.8,242,0
5.2,7,32,23.8,282,0
3.6,8.3,19,16.3,91,0
3.5,7.7,27,26.3,234,0
4.5,9.3,29,21.1,249,0
3.5,8,29,32.5,241,0
2.6,6.3,28,10.7,70,0
3.4,6.1,28,11.5,96,0
4.7,12.3,32,23.6,251,0
3.5,8.6,32,21.7,51,0
3.5,7.8,30,20.2,290,0
3.5,8.7,31,11.9,228,0
3.8,7.8,30,26.5,67,0
3.5,8.3,34,16.3,62,0
3.2,6.2,28,21.6,94,0
5.4,13.8,29,22.8,96,0
3.6,8.7,36,10.7,286,0
3.5,6.9,18,17.1,60,0
3.8,8.6,31,21.3,63,0
3.6,7.1,27,24.9,253,0
