DO(ppm),pH,Temperature(*C),Salinity(ppt),TDS,Health
3.5,7.5,29,20.7,53,0
3.7,8.5,22,21.7,241,0
5.4,13.6,28,14,54,0
3.7,7.7,32,18,221,0
4.3,13.6,29,16.7,76,0
3.6,8.4,28,34.5,98,0
3.5,7.6,29,17.6,62,0
3.8,8.7,15,16.2,79,0
3.5,7.7,20,16.2,73,0
4,6.8,31,32,94,0
3.9,7.9,26,18.7,289,0
3.8,8.1,21,11.3,245,0
3.6,7.3,28,22.4,99,0
5.9,11.6,28,24.5,65,0
3.7,8.2,20,21,97,0
3,5.9,32,13.2,62,0
3.5,8.3,19,11.1,94,0
5.2,7.7,27,17.6,99,0
4.3,11.8,30,11,100,0
3.6,7.7,26,16.3,65,0
3,5.3,28,11.1,273,0
3.5,8.7,29,29.2,270,0
3.8,7.2,17,13.2,56,0
3.2,6.7,26,22.6,65,0
5.5,9,27,11.8,256,0
3.5,7.6,44,10.1,257,0
2.9,5.9,28,14.3,81,0
2.7,5.8,27,19.3,272,0
3.7,8,43,22.3,228,0
5,7.4,32,24.6,66,0
2.7,5.3,32,10.8,204,0
4,7.2,39,19.2,232,0
2.8,5.5,32,23.7,261,0
4,7.1,29,11.4,53,0
4.2,11,32,11.5,297,0
3.8,8.6,45,20.4,87,0
3.4,6,29,19.3,81,0
5.7,10.6,32,18,244,0
3.6,8.5,27,11.5,75,0
5,11.3,30,10.3,75,0
3.6,7.1,37,15.3,68,0
4.4,11.7,26,17.3,90,0
3.8,7.7,29,14.4,58,0
3.5,7.6,32,16.2,208,0
4.4,11,27,16,227,0
3.8,7.3,23,17.5,99,0
5.3,8.3,31,22.1,52,0
3.1,6.3,29,13.4,96,0
3.5,8.7,28,22.7,214,0
3.7,8.2,26,31.8,286,0
3.6,8.5,30,13,97,0
3.2,6.1,32,22.6,64,0
3.5,6.9,38,16.4,98,0
3.8,6.8,32,27,267,0
3.8,8.5,44,17.9,208,0
5.4,9.4,26,15.7,82,0
4.4,11.5,27,22.5,95,0
5.5,12.7,29,24.9,91,0
6,10,28,22.3,204,0
3.6,8.7,25,21.4,91,0
3.9,8.4,15,19.4,64,0
3.6,7.3,32,20.3,78,0
3.6,8.6,29,23.3,53,0
3.5,7.4,25,11.5,55,0
5.6,8.4,31,20.3,223,0
3.8,6.8,36,14.2,300,0
3.8,8.3,26,27.2,254,0
4,7.7,32,19.9,300,0
4,7.7,17,21.8,227,0
3.9,7.9,28,13.8,205,0
4.5,13.6,26,10,74,0
3.9,6.8,27,34.2,244,0
3.8,6.8,26,33.1,233,0
3.8,8.7,29,19,252,0
4,8.4,24,18.3,84,0
3.4,6.4,26,11,266,0
3.5,7.7,42,21,277,0
3.7,7.8,29,24,223,0
2.5,5,27,20.5,219,0
3.6,6.8,38,17.6,95,0
5.6,13.9,28,23,221,0
3.9,7.3,28,14.7,299,0
2.8,6.1,30,19.7,77,0
3.7,8.7,18,16.4,83,0
3.6,8.7,19,20.8,82,0
4.7,13.8,31,21.3,286,0
4,7.7,29,34.1,239,0
3.6,8.1,23,14.4,232,0
3.8,7.5,22,10.6,287,0
5.1,13.8,28,24.5,96,0
4,7.8,30,19.6,85,0
3.6,7.2,27,32.6,227,0
3,6.6,30,18.2,56,0
3.8,7.1,32,21.9,76,0
4,8.6,23,23.2,288,0
3,6.4,29,15.1,277,0
3.9,7.2,28,13.3,287,0
3.7,8.3,28,23.9,87,0
3.8,7,29,15.8,215,0
4,7.6,26,31.8,227,0
3.8,8.4,32,27.3,82,0
4,8.5,31,21.8,77,0
3.7,8,41,12.5,57,0
4,7.9,26,21.8,203,0
4,8.2,28,19.4,271,0
5.6,10.4,28,15.5,275,0
3.6,6.9,27,20.5,257,0
3,6.7,29,22.7,100,0
2.7,6.6,32,19.5,290,0
5.1,10.4,29,20.3,204,0
4.6,7.6,27,12.2,258,0
3.6,8.5,32,17.3,246,0
3.5,7.3,26,20,83,0
4,6.9,32,21.8,69,0
3.5,8.6,27,14,280,0
3.9,7.4,28,21.9,50,0
2.5,6.3,31,11.6,256,0
4.6,9.3,31,21.2,268,0
3.7,7.7,29,19.7,77,0
3.6,7.9,31,27.5,79,0
3.1,5,31,18.3,71,0
3.5,6.9,30,11.5,77,0
4.7,9.5,29,19.1,245,0
5,12.8,28,12.6,92,0
2.9,6.6,26,19.9,206,0
4.6,7.5,31,10.7,79,0
3.9,8.6,24,12,263,0
3.2,6,29,19,51,0
2.6,5.3,28,12.6,218,0
3.7,7.1,30,13.7,234,0
4.3,12.5,30,20.8,53,0
6,10.6,26,20.5,223,0
3.6,7.3,29,29.5,100,0
5.1,12.1,30,21.4,52,0
3.4,5.2,28,15.3,89,0
4.6,8.6,27,16.9,237,0
4,7.4,26,13.1,76,0
3.8,8.3,26,18.4,273,0
3.5,8.6,32,29.5,218,0
3.9,8.7,31,26.2,81,0
3.6,7.3,34,16.7,269,0
2.9,6.1,27,14.5,229,0
3.2,6,28,15.3,73,0
3.6,8,30,33.7,55,0
4.3,10.4,29,19.1,88,0
3.5,7.8,36,17.7,266,0
2.6,5,31,15.5,98,0
4,8.2,26,24.7,291,0
3.6,7.2,30,13.1,73,0
3.8,8,28,14.7,52,0
4,6.8,28,29.3,283,0
2.8,5.8,28,22.3,267,0
3.9,6.8,30,32.7,216,0
5.8,9.3,27,18.9,55,0
3.9,8,28,33.1,273,0
3.6,7.1,29,15.4,258,0
3.8,6.9,25,14.9,282,0
3.7,8.6,17,13.2,222,0
3.5,7.4,26,26.1,97,0
3.7,7.8,24,11.4,75,0
3.1,6.7,30,23.9,73,0
4,8.5,45,14.4,78,0
3.8,6.8,32,19,225,0
3.5,7.9,17,25,59,0
5.9,11.9,31,13.5,76,0
4.8,12.7,27,17.4,234,0
2.7,6.1,29,20.2,94,0
3.5,8.7,18,11.8,61,0
4,8.4,17,12.3,66,0
3,5.6,32,19.3,253,0
4.4,10.1,31,24.2,270,0
4.9,10.7,27,21.8,50,0
3.9,8.1,28,11.8,77,0
4,6.9,21,13.1,210,0
3.6,8,37,11.7,201,0
5,13.5,31,24.9,95,0
3.8,7.4,43,13.2,221,0
2.7,5.6,31,17.4,65,0
3.3,5.8,32,18.6,235,0
5,9.8,29,24.3,225,0
3.5,7.6,24,21.1,290,0
2.9,5.5,29,15.3,85,0
4,8.5,27,19.5,212,0
3.8,6.9,34,21.4,60,0
3.9,7.5,31,17,203,0
4,6.8,23,10,290,0
3.9,7.1,44,22.9,61,0
4,7.5,25,21.9,227,0
3.5,8.3,32,16.3,238,0
2.8,5.5,30,24,230,0
3.5,8.5,26,15,267,0
3.5,7.6,17,18.2,298,0
3.7,7.6,19,11,64,0
5.4,8.6,31,15.8,61,0
3.8,8.3,27,26.7,215,0
5.1,13.6,32,17.2,243,0
3.8,7.9,27,11.9,208,0
3.5,7.9,45,24.5,59,0
3.6,8.6,27,15.7,286,0
3.8,7.7,32,10.9,69,0
3.7,7,16,16,98,0
3.4,5.4,31,12.4,65,0
3.7,7.5,32,22.9,50,0
3.5,7.4,24,23.2,100,0
3.8,7,25,18.3,97,0
3.3,6.5,26,22.2,211,0
2.7,5.7,31,12.4,50,0
3.7,8.3,26,19.8,266,0
3.5,7.6,18,22.5,97,0
2.6,6.3,32,22.3,50,0
4.3,12,31,24,63,0
3.8,7.2,18,15.1,77,0
3.5,8.5,32,16.6,200,0
3.7,7.6,27,17.6,245,0
3.7,7.4,20,23.1,82,0
4,7.4,26,26,247,0
3.9,8.7,28,14.2,59,0
3.5,7,39,24.4,76,0
3.7,7.7,32,33.7,85,0
2.9,6.4,30,24.3,78,0
4.5,8.3,31,21.4,274,0
4.5,7.9,31,24,229,0
480,8.3,28,23.1,87,0
3.5,8,30,25,268,0
3.6,7.8,28,12.2,69,0
3.6,8.7,27,23,241,0
3.6,8.1,30,26.7,249,0
3.7,7.8,22,20.4,74,0
3.9,7.3,26,15.2,52,0
3.5,8,26,26.7,75,0
3.5,8.5,38,23,96,0
3.7,7,30,17.6,95,0
3.8,7.4,26,30.2,66,0
2.6,5.4,29,22,263,0
3.6,7.9,33,19.7,243,0
3.6,7.7,20,18.1,288,0
3,5.2,30,12.2,66,0
3.5,7.8,19,21.9,276,0
2.9,5.6,28,21.1,272,0
3.6,7.2,16,24.4,233,0
5.3,13.5,27,16.7,290,0
5.2,8.7,29,18.2,95,0
4,6.8,27,14.9,255,0
4.3,7,27,15.9,213,0
3.5,6.8,23,12.4,228,0
3.6,8.7,26,18.5,73,0
3.7,8.1,28,17.9,273,0
3.6,7.2,22,10.4,80,0
3.6,8.3,23,22.7,87,0
4,8.3,37,10.5,204,0
4,6.9,30,26.2,88,0
3.5,7.5,31,29.3,64,0
3.2,6.1,32,22.1,85,0
3.2,5.2,26,17,265,0
4.7,10.8,26,10.8,96,0
3.5,7,39,23.6,257,0
3.6,8.7,38,19.7,68,0
3.5,6.8,30,26.1,92,0
4,6.9,27,22.6,201,0
3.9,8.3,26,23.6,238,0
3.7,8.7,44,13.2,100,0
5.3,12.1,28,12.4,277,0
3.5,8.5,22,24.8,88,0
3.7,8.7,27,32.9,232,0
3.5,7.2,27,26.3,58,0
3.8,8.7,28,11.5,84,0
4.7,11.8,31,23.4,257,0
3.8,6.8,29,20,93,0
3.7,7.3,31,20.1,92,0
3.5,7,28,19.5,253,0
3.7,8.3,32,16.7,256,0
4,8.1,26,17.8,223,0
3.9,8,27,22.4,284,0
3.6,7.6,29,32.8,281,0
3.5,6.8,28,11.2,254,0
2.8,5.8,32,13.2,255,0
4.9,9.2,27,14.7,68,0
3.8,6.9,15,10.9,77,0
4,8.2,30,17.3,81,0
3.9,7.5,24,11.1,97,0
3.7,7.8,31,18.6,252,0
3.9,7.9,28,34.2,238,0
3.5,8.3,38,11.8,82,0
3.7,8.2,32,23.4,90,0
3.8,8.1,30,19.5,82,0
4.2,7.5,26,24.7,299,0
3.5,7.2,32,24.2,76,0
3.8,7.3,26,16.7,263,0
3.7,7.5,21,12.7,77,0
2.7,5.9,29,14.5,209,0
3.7,8,30,20.7,232,0
3.9,7.5,26,16.2,296,0
3.3,5.3,28,19.1,78,0
3.6,8,17,20.3,60,0
3.5,7.5,24,18.4,235,0
5.3,10.5,31,19.3,212,0
3.5,8.6,19,21.3,289,0
3.7,8.5,27,34.5,82,0
2.6,5.2,32,18.7,202,0
3.8,7.3,28,12.9,221,0
3.7,7.5,37,14.8,52,0
2.9,5.1,27,17,228,0
2.7,5.7,26,15.5,100,0
5.6,11.1,28,24.6,231,0
3.7,7.1,19,22.7,53,0
5.4,7.8,26,23.8,81,0
3.7,6.9,23,22.4,279,0
3.5,6.9,19,13.5,277,0
3.7,8.6,16,16.9,92,0
3.7,8.7,28,12.3,71,0
2.7,6.1,26,20.8,62,0
3.5,7.5,16,19.5,232,0
3.8,7.7,40,18.6,290,0
3.5,7.5,30,20.9,251,0
3.8,7.4,31,21.4,201,0
3.5,6.8,32,13.5,57,0
3.9,8.7,30,12.1,67,0
4.2,12.5,28,10.5,73,0
3.9,8.2,30,17,230,0
3.5,8.6,28,11.4,56,0
2.9,6.5,30,10.8,85,0
4.3,13.4,30,22.4,291,0
3.9,8.6,35,12.2,261,0
2.9,5.8,32,13.4,211,0
3.7,7.5,31,21.5,217,0
4.9,10.3,28,14.1,56,0
4,6.8,26,12.6,280,0
3.6,8.7,26,24.3,284,0
3.6,8.4,30,13.7,63,0
3.6,7.7,17,24.1,286,0
3.2,5.8,28,19.5,59,0
3.7,8.3,21,22.2,266,0
3.9,7.9,15,10.5,92,0
3.6,8.4,24,11.6,75,0
2.9,6.4,31,15.6,221,0
2.5,6.6,31,18.8,73,0
5.7,12.2,27,12.1,225,0
4,8.5,29,16.5,250,0
2.9,5.1,28,19.6,92,0
4,7.8,15,24.4,244,0
3.9,7.3,29,13.8,294,0
3.8,8.1,27,32.7,52,0
3.5,7,16,12.5,51,0
4.3,12.5,27,12.8,66,0
4.9,10.8,27,22.5,255,0
3.8,6.9,32,33.3,88,0
3.7,6.9,28,27.1,87,0
5.8,10,30,21.7,73,0
3.7,7,21,17.1,85,0
5.7,12.2,29,18,99,0
3.6,7.8,40,22.8,216,0
3.9,8,42,16.5,95,0
3.7,7.8,27,24.1,286,0
3,6,32,10.5,244,0
5,9.3,30,24.5,245,0
4,7,19,22.5,56,0
3.8,7.2,25,14.1,289,0
3.5,7.4,24,24,60,0
4,8.2,22,13.1,51,0
3.8,7.8,31,31.7,239,0
2.8,6.7,26,16.8,64,0
3.9,6.8,30,14.6,223,0
3.7,8.3,29,32.8,53,0
5.5,11.8,27,22.6,254,0
4.6,8.1,28,11.6,208,0
3.6,6.9,40,15.5,261,0
3.9,6.9,27,32.8,50,0
3.7,7.2,29,28.4,91,0
5.5,11,32,24.2,222,0
3.6,7.6,16,18.1,59,0
3.8,8.2,27,16.5,300,0
4.3,7.2,28,23.7,63,0
3.8,8.2,21,18,243,0
3.8,7.2,18,22.4,286,0
3.7,7.7,17,24.5,264,0
3.5,8.6,30,14.1,78,0
3.6,8.1,18,19.3,221,0
3.8,6.9,34,17.9,214,0
3.6,7.7,27,34.5,82,0
3.5,8.3,21,18.9,219,0
4,8,31,21.4,254,0
3.6,8.4,32,11.1,74,0
3.7,8.7,26,15.6,294,0
4,8.1,32,13.6,81,0
3.8,7.5,21,23.4,52,0
3.5,8.1,32,20.5,79,0
4.9,8.5,30,22.1,81,0
3,6.4,31,15.3,95,0
4.8,8.3,26,15.1,55,0
3.7,8.7,30,18.5,267,0
3.6,7.3,20,11.6,261,0
4.8,10.1,32,19.6,70,0
2.5,5.5,29,12.2,95,0
4,7.6,28,22.9,243,0
2.5,5.5,28,17,51,0
5,12.5,28,16.3,220,0
4.9,12.8,32,24.9,77,0
4.2,7.2,27,18.7,217,0
3.9,8.7,30,10.2,76,0
3.8,6.9,36,21.4,98,0
3.9,7.2,31,12.5,85,0
4.3,11.7,30,15,64,0
3.5,7.8,21,18.2,216,0
3.7,7.5,26,34.1,60,0
4.4,13.7,28,21.4,66,0
3.8,6.8,32,12,51,0
3.1,5.7,31,21.5,89,0
4,7.7,30,20.3,99,0
4,7.5,27,27.6,75,0
2.9,5.6,28,16.3,257,0
4,8.7,28,31.5,228,0
3.1,5.2,29,20.8,69,0
3.7,7.7,23,10.6,71,0
3.6,7,36,20.5,65,0
3.6,7.4,25,15.1,220,0
3.8,7.5,36,22,217,0
4,7.8,26,18.3,214,0
3.9,8.6,30,11.2,61,0
3.5,7.6,27,24.2,280,0
3.5,7.6,28,23.4,63,0
2.9,6.2,30,14.6,239,0
5.6,12.9,26,20.5,86,0
3.8,8.5,23,23.9,258,0
3.8,7.5,30,17.1,72,0
3.8,8.2,32,32.9,285,0
3.5,6.8,29,13.5,60,0
3.8,8.3,15,16.5,255,0
4,7.1,15,23.7,61,0
3.6,7.1,31,15.6,76,0
4.9,8.1,27,16.8,230,0
3.8,7,27,10.6,295,0
3.7,7.4,25,10.3,226,0
4,8.3,18,22.4,56,0
4.3,13,26,11.9,252,0
4,7.7,32,20,257,0
3.6,8.2,26,16.8,278,0
4.4,10.7,32,19,270,0
5.9,12.6,26,10,281,0
3.5,8.7,32,16.8,292,0
3.5,8.4,26,10.1,53,0
4,8.1,31,19.3,85,0
3.5,7.9,33,19.7,216,0
2.7,5.2,28,20.6,282,0
4,7.1,28,21.3,296,0
3.3,6.1,26,17.5,71,0
5.6,10.2,29,21.9,237,0
3.2,5.3,28,14,53,0
3.8,8.4,31,16.9,89,0
3.5,8,24,20.4,260,0
4,6.8,20,16.8,75,0
3.6,8.4,30,28.1,245,0
3.1,5.8,28,11.7,63,0
3.4,5.3,28,16.5,63,0
55,10.6,30,17.2,275,0
3.4,5.2,29,11.5,56,0
3,5.1,32,21.4,65,0
3.8,7.9,37,16,67,0
3.8,7.2,17,17.4,262,0
4.7,8.3,26,10.4,54,0
3.5,7.9,31,31,85,0
3.3,5.9,32,17.8,272,0
5.4,12.5,29,11.6,91,0
56,11,31,15.5,72,0
3.8,8.6,27,10.3,59,0
3.9,7.5,32,31.4,70,0
6,12.7,28,11,206,0
4.4,12.8,29,23.5,77,0
3.9,8.6,30,31.4,234,0
3.5,8.5,30,34.1,244,0
3.1,5,27,16.7,89,0
4.2,8.5,27,10.6,60,0
3.4,6.6,26,15.7,62,0
3.7,6.8,31,11.8,73,0
4,8.1,27,18.8,78,0
3.7,6.8,28,19.1,267,0
3.5,7.5,26,31.3,100,0
3.7,8.7,21,23.4,281,0
3.6,7.8,30,14,250,0
3.8,7.1,24,15.7,290,0
57,11.6,26,17.7,239,0
5.6,10.6,28,23.1,221,0
4,7.2,42,21.7,58,0
3.5,7.5,21,16.1,253,0
3.9,7.5,31,11.7,240,0
3.6,7.7,27,34.1,98,0
4.8,7.5,29,23.8,258,0
3.3,5.5,26,17.4,73,0
3.5,7.9,31,12.1,65,0
4.4,9.3,31,12.4,300,0
5.6,12.7,28,22.7,242,0
3.7,8,29,12.2,278,0
3.6,8.5,17,16.2,253,0
3.6,8.4,42,23,50,0
5,10.8,26,15.6,81,0
3.8,7.9,36,22.5,283,0
3.6,8.6,22,18.9,251,0
3.7,8.7,27,20.6,271,0
3.8,8.3,32,23.9,277,0
3.9,7.3,23,12.9,237,0
4,6.8,30,33.1,240,0
3.6,8.7,29,21,53,0
3.5,7.9,29,18.8,212,0
5.1,13.6,31,22.3,56,0
3.8,7.6,27,30.5,55,0
5.1,13.1,28,15.3,269,0
3.3,5.6,32,21.7,212,0
3.5,7.9,28,30.3,69,0
3.7,8,27,17.1,205,0
3.7,7.6,30,13.8,298,0
2.9,6.6,30,10.1,270,0
3.8,8.5,18,14.8,57,0
3.9,7.1,23,12.5,98,0
3.4,5,30,17.3,299,0
3.5,8.6,32,19.9,89,0
3.8,7.2,26,30.7,228,0
3.9,6.9,31,17.9,100,0
3.1,6,28,10.8,216,0
3.5,8.7,32,15.8,91,0
5.7,12.7,27,20.2,255,0
4.6,7,27,16.3,81,0
4.3,12.3,30,20.4,245,0
4,8.7,21,20.2,221,0
4.9,13.2,27,14.1,63,0
3.9,8.1,31,17.6,85,0
3.8,8.7,21,22.2,224,0
3.6,7.4,27,15,95,0
3.5,7.6,22,15.7,239,0
3.8,8.3,28,20.6,264,0
4.7,9.5,32,10.2,226,0
3.7,6.8,24,13,73,0
5.4,7.1,31,24.4,298,0
3.6,7.3,42,12.2,93,0
4.3,7.6,31,23.2,72,0
4.2,12.1,30,13.5,291,0
3,5.1,27,21.2,66,0
4,8.5,28,23,263,0
4,6.9,32,11.9,64,0
3.2,5.4,27,10.8,66,0
2.6,6.5,30,16.7,238,0
3.8,6.8,22,14.6,69,0
3.9,7.1,32,23.3,57,0
3.7,8.3,28,30.8,243,0
3.7,8.4,44,11.8,56,0
3.2,6.3,30,24.7,82,0
3.8,7.4,24,24.9,281,0
4,8.2,28,18.9,201,0
4,7,29,33.1,205,0
4.8,8.1,29,22.9,233,0
4,8.1,28,24.8,294,0
3.9,6.8,20,15.3,54,0
3.8,8.4,29,16.5,96,0
4,7.1,31,24.2,240,0
4,8.3,32,24.4,62,0
3.9,7.3,32,22.9,93,0
3.6,7.6,16,21.5,72,0
4,7.5,22,13.8,258,0
3.6,7.5,29,33.4,97,0
3.8,7.5,28,12.4,244,0
5.3,7.3,27,12.7,265,0
3.8,8.2,20,22.7,94,0
3.6,7.9,28,16.2,55,0
3.5,7.4,27,17.1,64,0
3.6,7.8,32,23.4,278,0
4,8.3,23,24.7,227,0
4,6.8,18,15.9,84,0
3.9,7.3,26,21.6,70,0
3.3,5.8,32,12.2,69,0
4,7.5,19,14.7,255,0
3.6,8.5,35,14.9,94,0
3.9,8.6,28,34.4,293,0
3.8,8.6,44,10.3,88,0
4.5,7.5,26,12.8,63,0
3.2,6.2,26,17.6,213,0
3,5.8,29,23.8,96,0
3.9,6.9,23,16.5,90,0
4.2,10.1,28,14.9,59,0
3.5,6.9,39,15.1,66,0
3,6.2,31,15.7,99,0
4,6.9,31,17.1,201,0
3.6,8.3,32,11.6,210,0
3.6,7,27,13.3,66,0
3.8,8.4,32,15.8,67,0
5.8,8.6,30,18.9,241,0
3.6,7.4,20,13.2,225,0
3.6,7.6,43,14.7,261,0
3.6,8.6,16,13.4,261,0
3.8,8.1,27,17,65,0
4,7.5,30,11.6,216,0
3.6,7.8,45,21.1,215,0
3.8,7.8,29,12.6,298,0
3.7,7.2,32,24.8,58,0
3.6,7.9,37,21.5,85,0
4,7.2,41,16.1,291,0
3.8,6.9,28,34.9,93,0
5.2,7.7,30,12.8,243,0
3.5,6.9,30,16.7,222,0
5.2,8.3,31,18.4,89,0
3.6,8.5,18,13.8,64,0
4.8,8.4,28,19,261,0
4,7.3,33,21.3,81,0
3,6.5,26,11.6,85,0
4,7.7,21,14,232,0
3.5,7.1,39,22.2,205,0
3.6,8.6,29,12.4,223,0
3.8,6.9,19,21.1,217,0
3.7,8,30,26.1,70,0
2.5,6,32,24.7,74,0
5.4,13.3,27,14.6,219,0
3.9,7.5,27,22,263,0
3.1,6.7,29,23.5,71,0
4,7.5,29,28.1,300,0
3.9,6.9,30,19.2,257,0
3.6,7,30,33.3,226,0
2.5,5.2,27,15.8,55,0
3.5,8.7,27,10.1,100,0
3.6,6.9,21,22.2,69,0
3.5,6.8,15,22,59,0
3.8,7.9,28,29.5,78,0
3.9,7.8,27,17.2,261,0
4,7.7,25,17.4,238,0
6,7.7,30,16.1,62,0
2.7,6.7,31,11.4,67,0
3.5,7.7,30,20.1,64,0
4,8.4,28,16.1,206,0
3.8,7.8,30,34.8,84,0
3.6,8.7,27,16.8,83,0
3.7,7.2,32,22.7,264,0
2.9,5.7,26,18.6,75,0
3.5,7.4,20,24.7,251,0
6,13.1,32,21.9,51,0
3.6,8,31,26.6,281,0
3.9,7.5,32,12.9,92,0
3.5,7.6,37,14.1,226,0
3.5,7,15,12.6,90,0
3.9,6.8,28,16.6,200,0
3.5,8.6,21,14.8,244,0
3.1,6.1,28,22.4,268,0
3.5,7,32,22.9,241,0
4,7.6,28,14.2,89,0
3.2,5.6,32,21.2,228,0
3.2,5.8,28,22.8,214,0
3.7,7.5,37,25,212,0
3.6,8,32,19,225,0
3.8,6.8,16,12,95,0
3.5,7,31,17.7,229,0
4,8.3,34,11.1,282,0
5.5,8.9,26,23.2,76,0
3.5,7.4,18,17.2,295,0
3.7,8,28,20.1,283,0
3,6.3,26,20.9,278,0
5.6,13.4,32,13.7,280,0
3,6.1,29,24.5,70,0
3.8,7.3,18,16.7,81,0
2.8,6.7,26,20,285,0
5.4,7.9,32,12.1,300,0
2.5,6,30,11.3,84,0
4,6.8,26,20.5,83,0
3.6,6.8,18,12.6,228,0
3.8,8,26,14.7,289,0
3.3,6.5,32,17.1,73,0
3.2,5.4,28,24.9,56,0
4.6,7,28,12.7,54,0
3.7,6.9,16,15.3,209,0
3.6,8.7,30,25,90,0
3.6,7.4,27,24.9,224,0
2.7,5.3,31,12,284,0
6,12.8,27,21.1,240,0
3.6,8.1,31,10.7,287,0
4,6.8,32,18.2,200,0
3.5,8.6,33,14.8,209,0
3.5,8.2,25,19.5,60,0
5,7.8,32,18.6,76,0
3.9,8.5,26,17.4,66,0
3.1,6,30,21.4,53,0
3.8,7.3,30,20.1,223,0
3.6,6.9,32,28.3,241,0
3.7,6.8,16,16,235,0
2.7,5.8,30,21.6,51,0
3.6,7.9,32,13.8,253,0
3.8,6.9,29,18.4,227,0
2.7,6.4,26,13.4,244,0
3.8,7.5,40,20.4,269,0
3.6,8.7,19,23,268,0
3.6,8.5,18,19.4,283,0
3.6,6.9,27,15.3,78,0
3.2,5.1,27,16.3,76,0
3.6,7.7,17,15.9,80,0
3.7,7.6,31,24.5,227,0
3.8,7.1,22,11.4,99,0
3.7,7.7,31,15.8,85,0
3.7,8.5,42,15.8,229,0
3.6,8.6,32,22.3,224,0
4,8.6,29,28.8,224,0
4.7,12.5,30,21,60,0
5.5,12.5,31,20.8,81,0
3.5,8.3,15,15.5,97,0
3.7,7.7,25,20.3,59,0
3.5,7.5,30,16.4,67,0
4,8.4,18,13.1,89,0
2.7,6.3,30,18.5,262,0
3.9,8.5,34,16.8,64,0
3.6,7.6,27,11.5,73,0
3.7,7,27,14.8,208,0
3,5.2,27,15.2,264,0
5.9,7.3,27,20.5,74,0
3.8,7,30,24.2,88,0
3.6,7.4,28,12.9,237,0
2.6,5.9,27,24,290,0
4.4,9.2,28,18.7,261,0
2.6,6,32,15,89,0
3.1,5.6,27,22.7,200,0
3.5,8.3,27,18.8,222,0
2.7,6.3,30,22.4,268,0
3.5,8.2,32,14.7,231,0
3.8,7.3,29,19.6,61,0
4,8.1,32,21.8,210,0
3.9,7.3,31,22.7,99,0
3.1,5.7,26,21,242,0
3.5,7.4,32,23,78,0
3.7,8.7,23,21,94,0
4,8.2,31,13.9,77,0
3.7,7.6,30,22.1,254,0
3.6,7.2,26,14.7,230,0
2.6,5.2,30,18.7,53,0
3.6,8.5,19,24.1,248,0
4,8.3,41,16.5,88,0
3.5,8.3,26,33.4,70,0
4,7.5,28,12.1,282,0
3.6,7,16,13.5,231,0
4.2,14,26,21.8,200,0
3.9,8,28,20.1,63,0
4.5,10.2,27,21.3,222,0
5.2,12.7,29,14.5,57,0
3.6,8.5,30,33.8,265,0
3.6,7.5,31,26.7,61,0
4,8.6,27,11.8,65,0
5.7,11.9,30,12.1,253,0
4.4,8.3,27,20.5,78,0
3.5,6.8,32,21.6,287,0
3.6,8.3,32,15.6,288,0
4,7.4,34,12.7,57,0
3.9,6.9,27,16.7,89,0
4,7.5,27,10.4,216,0
5.8,11.2,26,12.8,69,0
3.6,7,15,12.9,278,0
3.9,7.2,26,24.8,252,0
4,7,30,23.7,240,0
4,7.1,41,23.2,268,0
6,9.1,31,16,58,0
3.5,7.3,32,27.3,93,0
5.1,13.2,31,10.3,65,0
3.5,8.5,32,30.9,211,0
3.5,7.6,17,20.6,275,0
4,7.5,44,17.4,70,0
3.2,6.1,28,12.5,78,0
3.7,7.6,40,24.8,80,0
5.1,11,28,13.5,68,0
2.7,5.4,30,14.3,289,0
3.6,7.5,32,22.4,53,0
4,7.9,37,21.7,71,0
2.5,5.2,26,15.5,65,0
4.5,13.6,29,13.9,75,0
2.7,6.5,27,13.6,66,0
5.8,7.4,28,12.2,96,0
3.5,7.6,16,21.8,77,0
3.5,6.9,17,19.8,225,0
3.4,5.4,29,22.7,283,0
2.6,6,28,17.1,240,0
4.6,13.8,32,12.9,280,0
3.7,7.2,32,18,286,0
4,7.5,36,15.2,247,0
3.7,8.6,27,27.3,289,0
4.9,8.2,27,20.4,285,0
3.6,8.3,32,11.3,88,0
3.5,6.9,29,12.2,226,0
6,8.4,29,13.3,71,0
5.2,13,31,10,231,0
3.7,7,26,16.9,69,0
3.2,6,30,11.5,95,0
3.6,6.8,36,19.4,236,0
2.5,6,31,12.1,83,0
6,13.7,31,24.1,88,0
3.7,7.9,31,13.5,97,0
4,6.8,38,13.6,74,0
4.6,9,26,17.2,230,0
5.9,13.3,31,24.3,213,0
4,7,23,17.2,260,0
3.5,8.6,27,32.8,53,0
5.9,9.6,30,16,204,0
3.5,7.2,28,34.5,100,0
3.2,6.2,27,23.1,83,0
3.1,5.8,28,19.4,239,0
4.6,12.1,27,15.3,209,0
3.8,7.7,29,16.1,281,0
4,8.5,28,17.2,79,0
3.6,8.4,31,13.9,289,0
3.6,8.3,27,30,75,0
3.8,7.6,36,19.6,79,0
3.1,6.1,27,19.9,213,0
6,8.1,26,22.8,236,0
3.9,7.7,33,12.4,90,0
3.8,8.7,21,17.6,248,0
3.8,7.1,30,10.2,62,0
3.9,8.6,30,17.7,276,0
2.5,5.8,31,16.3,209,0
4.8,8,32,14.5,277,0
3.6,7.5,26,10.5,67,0
3.8,7.8,19,12.1,234,0
